junction_name,cis_mean,violation_count,lat,lon,validated_pct,predicted_stress_next_h,historical_peak_stress,spillover_centrality,recency_score,quality_bonus,priority_score,rank,patrol_stop,officer_assigned,route_km
BTP225 - Geetha Junction,1.872167944250871,287,12.928338116027875,77.58587362578398,0.8850174216027874,0.087,1.0,0.004591497147564384,0.9777186897110127,0.04425087108013937,0.3567,130,,,
BTP135 - UCO Bank Junction,1.8141852517985613,1112,12.935621750629496,77.61497794019785,0.9181654676258992,0.109,1.0,0.0034345009264042017,0.9979607952898369,0.04590827338129497,0.3532,131,,,
BTP010 - Rajajinagar Entrance,1.9553530825496341,957,12.982261563097772,77.56008112329171,0.8944618599791013,0.0598,1.0,0.0034345009264042017,0.9505992662861484,0.04472309299895507,0.3498,132,,,
BTP109 - Dewan Madhava Rao Junction,1.5354822006472493,309,12.940864320388348,77.57243474530745,0.8220064724919094,0.1082,1.0,0.01130114902788926,0.9901138555963175,0.041100323624595474,0.3492,133,,,
BTP008 - Navarang Theatre,1.5470206722689075,1190,12.998492417815125,77.55309264941177,0.8252100840336134,0.2027,1.0,0.0054318341801918545,0.9925129199612152,0.041260504201680676,0.3489,134,,,
BTP091 - Sirsi Circle,1.8545201520912546,263,12.962208439163499,77.55862826692015,0.8859315589353612,0.0352,1.0,0.006198254947108546,0.9890542688351542,0.04429657794676806,0.3447,135,,,
BTP047 - Vidhan Soudha Metro Station,1.7904650000000002,200,12.979835985,77.59251278949999,0.665,0.0786,1.0,0.00841319543006134,0.9934025729965313,0.03325,0.3427,136,,,
BTP082 - KR Market Junction,1.8235662159819728,11538,12.964423750642322,77.57724121294086,0.8697347893915757,0.0741,1.0,0.00444956635665403,1.0,0.04348673946957879,0.342,137,,,
"BTP113 - 27th Cross, Pai Vista, KR Road",1.32296484375,128,12.9175333703125,77.5731112515625,0.8828125,0.2654,1.0,0.005661816304721936,0.9606253561111167,0.044140625,0.3409,138,,,
"BTP179 - 9th Block, 28th Main, Jayanagar",1.3483581818181818,110,12.91695609,77.59508601818183,0.8545454545454545,0.2714,1.0,0.004718352440327637,0.9881046391907157,0.042727272727272725,0.3405,139,,,
BTP126 - Dairy Circle,1.8863257485029938,334,12.936743940419163,77.60242927844311,0.7634730538922155,0.089,1.0,0.0034345009264042017,0.9900038984795929,0.03817365269461078,0.3386,140,,,
BTP130 - GD Mara Junction,1.4945014263074485,631,12.908069876703646,77.60081684453249,0.9096671949286846,0.2092,1.0,0.0034345009264042017,0.9899439218704705,0.045483359746434235,0.3372,141,,,
BTP027 - Modi Bridge Junction,1.55375239965096,4584,12.998897494610551,77.54941567682627,0.7984293193717278,0.049,1.0,0.012571236643470138,0.9954217855036536,0.039921465968586395,0.3344,142,,,
BTP214 - 5th Main Chamrajpet  Junction,1.780754365079365,252,12.96500902960007,77.55255323659712,0.9404761904761905,0.11,1.0,0.0034345009264042017,0.8060656344025829,0.04702380952380952,0.3311,143,,,
"BTP016 - 5th Main Road, RPC Layout",1.4254443815683104,2474,12.965246043934675,77.5378432820211,0.9696847210994342,0.2014,1.0,0.0034345009264042017,0.9924329511490518,0.04848423605497171,0.3289,144,,,
